step,epoch,loss,learning_rate
50,0.016,1.402462158203125,1.7406749555950267e-06
100,0.032,1.3527507019042968,3.5168738898756667e-06
150,0.048,1.4076649475097656,5.293072824156305e-06
200,0.064,1.3359523010253906,7.069271758436945e-06
250,0.08,1.3728132629394532,8.845470692717585e-06
300,0.096,1.3590916442871093,1.0621669626998225e-05
350,0.112,1.3663615417480468,1.2397868561278865e-05
400,0.128,1.3799301147460938,1.4174067495559504e-05
450,0.144,1.3684274291992187,1.5950266429840143e-05
500,0.16,1.319080810546875,1.7726465364120783e-05
550,0.176,1.387181854248047,1.9502664298401424e-05
600,0.192,1.3289535522460938,1.9918293236495688e-05
650,0.208,1.3343507385253905,1.9804811620517476e-05
700,0.224,1.3674925231933595,1.9691330004539268e-05
750,0.24,1.3641777038574219,1.9577848388561052e-05
800,0.256,1.3131986999511718,1.9464366772582844e-05
850,0.272,1.3063902282714843,1.9350885156604632e-05
900,0.288,1.2908515930175781,1.923740354062642e-05
950,0.304,1.3490074157714844,1.912392192464821e-05
1000,0.32,1.3257420349121094,1.9010440308669997e-05
1050,0.336,1.3212213134765625,1.8896958692691785e-05
1100,0.352,1.3353457641601563,1.8783477076713573e-05
1150,0.368,1.390521240234375,1.866999546073536e-05
1200,0.384,1.3330946350097657,1.8556513844757153e-05
1250,0.4,1.335902099609375,1.8443032228778937e-05
1300,0.416,1.3522911071777344,1.832955061280073e-05
1350,0.432,1.3019998168945313,1.8216068996822517e-05
1400,0.448,1.3225387573242187,1.8102587380844305e-05
1450,0.464,1.3586029052734374,1.7989105764866093e-05
1500,0.48,1.3366401672363282,1.787562414888788e-05
1550,0.496,1.3441419982910157,1.776214253290967e-05
1600,0.512,1.32802978515625,1.7648660916931458e-05
1650,0.528,1.3441574096679687,1.7535179300953246e-05
1700,0.544,1.3061090087890626,1.7421697684975037e-05
1750,0.56,1.3754531860351562,1.7308216068996822e-05
1800,0.576,1.3481172180175782,1.7194734453018614e-05
1850,0.592,1.4047296142578125,1.7081252837040402e-05
1900,0.608,1.3654069519042968,1.696777122106219e-05
1950,0.624,1.284500732421875,1.6854289605083978e-05
2000,0.64,1.3300567626953126,1.6740807989105766e-05
2050,0.656,1.33824951171875,1.6627326373127555e-05
2100,0.672,1.387701416015625,1.6513844757149343e-05
2150,0.688,1.3229096984863282,1.640036314117113e-05
2200,0.704,1.2911065673828126,1.628688152519292e-05
2250,0.72,1.31423095703125,1.6173399909214707e-05
2300,0.736,1.3496769714355468,1.6059918293236495e-05
2350,0.752,1.3286610412597657,1.5946436677258287e-05
2400,0.768,1.3645857238769532,1.583295506128007e-05
2450,0.784,1.3280050659179687,1.5719473445301863e-05
2500,0.8,1.3369203186035157,1.560599182932365e-05
2550,0.816,1.3187661743164063,1.549251021334544e-05
2600,0.832,1.3307292175292968,1.5379028597367228e-05
2650,0.848,1.3487028503417968,1.5265546981389016e-05
2700,0.864,1.330101318359375,1.5152065365410804e-05
2750,0.88,1.3187124633789062,1.5038583749432594e-05
2800,0.896,1.269116668701172,1.492510213345438e-05
2850,0.912,1.323686065673828,1.481162051747617e-05
2900,0.928,1.360481719970703,1.4698138901497958e-05
2950,0.944,1.3251753234863282,1.4584657285519748e-05
3000,0.96,1.3192800903320312,1.4471175669541535e-05
3050,0.976,1.305426025390625,1.4357694053563324e-05
3100,0.992,1.267799072265625,1.4244212437585113e-05
3150,1.008,1.243917465209961,1.4130730821606902e-05
3200,1.024,1.1850713348388673,1.4017249205628689e-05
3250,1.04,1.2170778656005858,1.3903767589650479e-05
3300,1.056,1.2338158416748046,1.3790285973672265e-05
3350,1.072,1.2406377410888672,1.3676804357694055e-05
3400,1.088,1.2206997680664062,1.3563322741715843e-05
3450,1.104,1.199548797607422,1.3449841125737633e-05
3500,1.12,1.2107493591308593,1.333635950975942e-05
3550,1.1360000000000001,1.1855628967285157,1.3222877893781208e-05
3600,1.152,1.2184778594970702,1.3109396277802998e-05
3650,1.168,1.1938229370117188,1.2995914661824784e-05
3700,1.184,1.226956787109375,1.2882433045846574e-05
3750,1.2,1.198138427734375,1.2768951429868362e-05
3800,1.216,1.1940702819824218,1.2655469813890152e-05
3850,1.232,1.2252067565917968,1.2541988197911938e-05
3900,1.248,1.2382571411132812,1.2428506581933728e-05
3950,1.264,1.2251882934570313,1.2315024965955515e-05
4000,1.28,1.2460995483398438,1.2201543349977304e-05
4050,1.296,1.198622360229492,1.2088061733999093e-05
4100,1.312,1.2222086334228515,1.1974580118020883e-05
4150,1.328,1.2246615600585937,1.1861098502042669e-05
4200,1.3439999999999999,1.1944404602050782,1.1747616886064459e-05
4250,1.3599999999999999,1.192191162109375,1.1634135270086247e-05
4300,1.376,1.2267898559570312,1.1520653654108037e-05
4350,1.392,1.237471923828125,1.1407172038129823e-05
4400,1.408,1.2823387145996095,1.1293690422151613e-05
4450,1.424,1.218572769165039,1.11802088061734e-05
4500,1.44,1.2521641540527344,1.106672719019519e-05
4550,1.456,1.1918411254882812,1.0953245574216978e-05
4600,1.472,1.2007801055908203,1.0839763958238767e-05
4650,1.488,1.239332809448242,1.0726282342260554e-05
4700,1.504,1.2523435974121093,1.0612800726282344e-05
4750,1.52,1.2535525512695314,1.0499319110304132e-05
4800,1.536,1.1868484497070313,1.0385837494325922e-05
4850,1.552,1.2588104248046874,1.0272355878347708e-05
4900,1.568,1.1985582733154296,1.0158874262369498e-05
4950,1.584,1.2408341979980468,1.0045392646391286e-05
5000,1.6,1.2088690185546875,9.931911030413074e-06
5050,1.616,1.1795171356201173,9.818429414434863e-06
5100,1.6320000000000001,1.209081497192383,9.70494779845665e-06
5150,1.6480000000000001,1.213862533569336,9.591466182478439e-06
5200,1.6640000000000001,1.1977774047851562,9.477984566500229e-06
5250,1.6800000000000002,1.2371092987060548,9.364502950522017e-06
5300,1.696,1.1967810821533202,9.251021334543805e-06
5350,1.712,1.2254724884033203,9.137539718565593e-06
5400,1.728,1.1954581451416015,9.024058102587381e-06
5450,1.744,1.1995498657226562,8.910576486609171e-06
5500,1.76,1.2355076599121093,8.79709487063096e-06
5550,1.776,1.241603469848633,8.683613254652747e-06
5600,1.792,1.2252593231201172,8.570131638674536e-06
5650,1.808,1.2321476745605469,8.456650022696324e-06
5700,1.8239999999999998,1.2013268280029297,8.343168406718114e-06
5750,1.8399999999999999,1.2194126892089843,8.2296867907399e-06
5800,1.8559999999999999,1.2606073760986327,8.116205174761688e-06
5850,1.8719999999999999,1.2215497589111328,8.002723558783478e-06
5900,1.888,1.220708465576172,7.889241942805266e-06
5950,1.904,1.2018343353271483,7.775760326827054e-06
6000,1.92,1.2356594848632811,7.662278710848843e-06
6050,1.936,1.2194834899902345,7.548797094870632e-06
6100,1.952,1.2398888397216796,7.43531547889242e-06
6150,1.968,1.2067577362060546,7.321833862914208e-06
6200,1.984,1.2256110382080079,7.208352246935997e-06
6250,2.0,1.2096212005615234,7.094870630957785e-06
6300,2.016,1.1259012603759766,6.981389014979574e-06
6350,2.032,1.1169506072998048,6.867907399001362e-06
6400,2.048,1.156212615966797,6.75442578302315e-06
6450,2.064,1.1592124938964843,6.640944167044939e-06
6500,2.08,1.1723763275146484,6.5274625510667275e-06
6550,2.096,1.1231764221191407,6.4139809350885165e-06
6600,2.112,1.1347071838378906,6.300499319110305e-06
6650,2.128,1.164614715576172,6.187017703132093e-06
6700,2.144,1.1562091827392578,6.073536087153882e-06
6750,2.16,1.1630521392822266,5.96005447117567e-06
6800,2.176,1.1576558685302734,5.846572855197459e-06
6850,2.192,1.162491226196289,5.733091239219247e-06
6900,2.208,1.1650616455078124,5.619609623241036e-06
6950,2.224,1.1536924743652344,5.506128007262824e-06
7000,2.24,1.1220594024658204,5.3926463912846125e-06
7050,2.2560000000000002,1.1517146301269532,5.2791647753064015e-06
7100,2.2720000000000002,1.1434471893310547,5.16568315932819e-06
7150,2.288,1.150021514892578,5.052201543349979e-06
7200,2.304,1.1608386993408204,4.938719927371766e-06
7250,2.32,1.1510337066650391,4.825238311393555e-06
7300,2.336,1.181746826171875,4.711756695415343e-06
7350,2.352,1.1324598693847656,4.598275079437132e-06
7400,2.368,1.1138050079345703,4.48479346345892e-06
7450,2.384,1.1383147430419922,4.371311847480708e-06
7500,2.4,1.1292803955078126,4.257830231502497e-06
7550,2.416,1.1208086395263672,4.144348615524285e-06
7600,2.432,1.1485123443603515,4.030866999546074e-06
7650,2.448,1.15865966796875,3.917385383567862e-06
7700,2.464,1.148229217529297,3.8039037675896505e-06
7750,2.48,1.1464472198486328,3.690422151611439e-06
7800,2.496,1.1536857604980468,3.5769405356332276e-06
7850,2.512,1.1898402404785156,3.463458919655016e-06
7900,2.528,1.126062545776367,3.3499773036768048e-06
7950,2.544,1.1672064208984374,3.236495687698593e-06
8000,2.56,1.1390691375732422,3.1230140717203815e-06
8050,2.576,1.1338190460205078,3.00953245574217e-06
8100,2.592,1.1576190185546875,2.8960508397639587e-06
8150,2.608,1.1473944091796875,2.7825692237857473e-06
8200,2.624,1.1024085235595704,2.6690876078075354e-06
8250,2.64,1.153020782470703,2.555605991829324e-06
8300,2.656,1.1413655853271485,2.442124375851112e-06
8350,2.672,1.1675730895996095,2.3286427598729007e-06
8400,2.6879999999999997,1.169310531616211,2.2151611438946893e-06
8450,2.7039999999999997,1.1533588409423827,2.101679527916478e-06
8500,2.7199999999999998,1.1128995513916016,1.988197911938266e-06
8550,2.7359999999999998,1.1021690368652344,1.8747162959600546e-06
8600,2.752,1.1371179962158202,1.761234679981843e-06
8650,2.768,1.1261366271972657,1.6477530640036316e-06
8700,2.784,1.2002760314941405,1.5342714480254201e-06
8750,2.8,1.161296615600586,1.4207898320472085e-06
8800,2.816,1.1659210968017577,1.307308216068997e-06
8850,2.832,1.129671630859375,1.1938266000907855e-06
8900,2.848,1.1623750305175782,1.0803449841125738e-06
8950,2.864,1.1488642883300781,9.668633681343622e-07
9000,2.88,1.1343433380126953,8.533817521561508e-07
9050,2.896,1.1504330444335937,7.399001361779392e-07
9100,2.912,1.1471083068847656,6.264185201997277e-07
9150,2.928,1.1560997772216797,5.129369042215161e-07
9200,2.944,1.1604896545410157,3.994552882433046e-07
9250,2.96,1.1148080444335937,2.859736722650931e-07
9300,2.976,1.1390303039550782,1.7249205628688156e-07
9350,2.992,1.1564156341552734,5.901044030867e-08
