step,epoch,loss,learning_rate
50,0.016,1.4091822814941406,2.6063829787234042e-08
100,0.032,1.3886720275878905,5.26595744680851e-08
150,0.048,1.4658975219726562,7.925531914893616e-08
200,0.064,1.4080624389648437,9.9625468164794e-08
250,0.08,1.4507882690429688,9.79230507320395e-08
300,0.096,1.4358738708496093,9.622063329928499e-08
350,0.112,1.4441555786132811,9.451821586653047e-08
400,0.128,1.4591314697265625,9.281579843377596e-08
450,0.144,1.44805419921875,9.111338100102145e-08
500,0.16,1.394031982421875,8.941096356826694e-08
550,0.176,1.4619778442382811,8.770854613551242e-08
600,0.192,1.4008964538574218,8.60061287027579e-08
650,0.208,1.404800567626953,8.43037112700034e-08
700,0.224,1.4396034240722657,8.260129383724889e-08
750,0.24,1.4304327392578124,8.089887640449438e-08
800,0.256,1.3858888244628906,7.919645897173987e-08
850,0.272,1.37481689453125,7.749404153898535e-08
900,0.288,1.3575422668457031,7.579162410623084e-08
950,0.304,1.412940216064453,7.408920667347634e-08
1000,0.32,1.391627197265625,7.238678924072183e-08
1050,0.336,1.3854055786132813,7.068437180796732e-08
1100,0.352,1.4001470947265624,6.89819543752128e-08
1150,0.368,1.4566082763671875,6.727953694245829e-08
1200,0.384,1.3910905456542968,6.557711950970377e-08
1250,0.4,1.4055253601074218,6.387470207694926e-08
1300,0.416,1.413690948486328,6.217228464419476e-08
1350,0.432,1.3684246826171875,6.046986721144023e-08
1400,0.448,1.3858421325683594,5.8767449778685727e-08
1450,0.464,1.4210467529296875,5.706503234593122e-08
1500,0.48,1.3984075927734374,5.536261491317671e-08
1550,0.496,1.4135256958007814,5.36601974804222e-08
1600,0.512,1.3935923767089844,5.195778004766769e-08
1650,0.528,1.4041079711914062,5.0255362614913175e-08
1700,0.544,1.3709259033203125,4.855294518215866e-08
1750,0.56,1.4418960571289063,4.685052774940415e-08
1800,0.576,1.40553955078125,4.514811031664964e-08
1850,0.592,1.4640249633789062,4.344569288389513e-08
1900,0.608,1.430977325439453,4.174327545114062e-08
1950,0.624,1.3477853393554688,4.004085801838611e-08
2000,0.64,1.3992164611816407,3.8338440585631595e-08
2050,0.656,1.4032377624511718,3.663602315287708e-08
2100,0.672,1.4450521850585938,3.4933605720122573e-08
2150,0.688,1.381757049560547,3.323118828736806e-08
2200,0.704,1.3516300964355468,3.152877085461355e-08
2250,0.72,1.3797543334960938,2.9826353421859044e-08
2300,0.736,1.4139527893066406,2.8123935989104526e-08
2350,0.752,1.3952751159667969,2.6421518556350015e-08
2400,0.768,1.4280262756347657,2.4719101123595504e-08
2450,0.784,1.3862324523925782,2.3016683690840993e-08
2500,0.8,1.4040879821777343,2.1314266258086482e-08
2550,0.816,1.3774433898925782,1.9611848825331968e-08
2600,0.832,1.3913070678710937,1.790943139257746e-08
2650,0.848,1.4125566101074218,1.620701395982295e-08
2700,0.864,1.4032205200195313,1.4504596527068435e-08
2750,0.88,1.3808596801757813,1.2802179094313926e-08
2800,0.896,1.3348910522460937,1.1099761661559413e-08
2850,0.912,1.383354949951172,9.397344228804902e-09
2900,0.928,1.427840118408203,7.694926796050391e-09
2950,0.944,1.387112579345703,5.99250936329588e-09
3000,0.96,1.388690185546875,4.290091930541369e-09
3050,0.976,1.371767578125,2.5876744977868574e-09
3100,0.992,1.3349380493164062,8.852570650323458e-10
