step,epoch,loss,learning_rate
50,0.016,3.8529922485351564,6.962699822380106e-09
100,0.032,3.8378866577148436,1.4067495559502665e-08
150,0.048,3.899222717285156,2.117229129662522e-08
200,0.064,3.854170837402344,2.8277087033747778e-08
250,0.08,3.8879635620117186,3.538188277087034e-08
300,0.096,3.87884521484375,4.24866785079929e-08
350,0.112,3.887131652832031,4.9591474245115456e-08
400,0.128,3.898107604980469,5.669626998223802e-08
450,0.144,3.8896240234375,6.380106571936057e-08
500,0.16,3.8454769897460936,7.090586145648313e-08
550,0.176,3.898697509765625,7.80106571936057e-08
600,0.192,3.851185302734375,7.967317294598276e-08
650,0.208,3.853162841796875,7.92192464820699e-08
700,0.224,3.87943603515625,7.876532001815706e-08
750,0.24,3.8719833374023436,7.83113935542442e-08
800,0.256,3.8363702392578123,7.785746709033137e-08
850,0.272,3.82820556640625,7.740354062641851e-08
900,0.288,3.81482421875,7.694961416250568e-08
950,0.304,3.8570123291015626,7.649568769859282e-08
1000,0.32,3.8387628173828126,7.604176123467999e-08
1050,0.336,3.83289794921875,7.558783477076713e-08
1100,0.352,3.8454583740234374,7.51339083068543e-08
1150,0.368,3.888913269042969,7.467998184294145e-08
1200,0.384,3.8383084106445313,7.42260553790286e-08
1250,0.4,3.8486279296875,7.377212891511576e-08
1300,0.416,3.854203796386719,7.331820245120291e-08
1350,0.432,3.818388671875,7.286427598729006e-08
1400,0.448,3.8336175537109374,7.241034952337722e-08
1450,0.464,3.857432861328125,7.195642305946437e-08
1500,0.48,3.8413967895507812,7.150249659555153e-08
1550,0.496,3.8501458740234376,7.104857013163868e-08
1600,0.512,3.8361862182617186,7.059464366772583e-08
1650,0.528,3.8435714721679686,7.014071720381299e-08
1700,0.544,3.8178509521484374,6.968679073990014e-08
1750,0.56,3.8727691650390623,6.92328642759873e-08
1800,0.576,3.843873291015625,6.877893781207445e-08
1850,0.592,3.88892578125,6.83250113481616e-08
1900,0.608,3.86349365234375,6.787108488424876e-08
1950,0.624,3.7994723510742188,6.741715842033591e-08
2000,0.64,3.8388055419921874,6.696323195642306e-08
2050,0.656,3.8409109497070313,6.650930549251022e-08
2100,0.672,3.8741799926757814,6.605537902859737e-08
2150,0.688,3.824019470214844,6.560145256468452e-08
2200,0.704,3.8001104736328126,6.514752610077168e-08
2250,0.72,3.824183349609375,6.469359963685883e-08
2300,0.736,3.8489779663085937,6.423967317294599e-08
2350,0.752,3.8336090087890624,6.378574670903314e-08
2400,0.768,3.8593569946289064,6.33318202451203e-08
2450,0.784,3.8264678955078124,6.287789378120745e-08
2500,0.8,3.840390930175781,6.24239673172946e-08
2550,0.816,3.81984619140625,6.197004085338175e-08
2600,0.832,3.8306793212890624,6.151611438946891e-08
2650,0.848,3.84582763671875,6.106218792555606e-08
2700,0.864,3.8367279052734373,6.060826146164322e-08
2750,0.88,3.823314208984375,6.015433499773037e-08
2800,0.896,3.78561767578125,5.970040853381752e-08
2850,0.912,3.8224868774414062,5.924648206990468e-08
2900,0.928,3.8563796997070314,5.879255560599183e-08
2950,0.944,3.826888122558594,5.8338629142078985e-08
3000,0.96,3.826735534667969,5.788470267816614e-08
3050,0.976,3.813862609863281,5.743077621425329e-08
3100,0.992,3.78479248046875,5.6976849750340447e-08
3150,1.008,3.8070440673828125,5.65229232864276e-08
3200,1.024,3.8045074462890627,5.6068996822514754e-08
3250,1.04,3.838343505859375,5.5615070358601915e-08
3300,1.056,3.847689514160156,5.516114389468906e-08
3350,1.072,3.846236572265625,5.470721743077622e-08
3400,1.088,3.83471435546875,5.425329096686337e-08
3450,1.104,3.8220233154296874,5.379936450295053e-08
3500,1.12,3.8174237060546874,5.334543803903768e-08
3550,1.1360000000000001,3.803482666015625,5.2891511575124824e-08
3600,1.152,3.828679504394531,5.2437585111211984e-08
3650,1.168,3.807425842285156,5.198365864729913e-08
3700,1.184,3.8319915771484374,5.152973218338629e-08
3750,1.2,3.8119342041015627,5.1075805719473446e-08
3800,1.216,3.8014151000976564,5.06218792555606e-08
3850,1.232,3.8308316040039063,5.0167952791647753e-08
3900,1.248,3.844928894042969,4.971402632773491e-08
3950,1.264,3.825589599609375,4.926009986382206e-08
4000,1.28,3.8478097534179687,4.8806173399909215e-08
4050,1.296,3.8020587158203125,4.835224693599637e-08
4100,1.312,3.8285507202148437,4.789832047208352e-08
4150,1.328,3.825881042480469,4.7444394008170676e-08
4200,1.3439999999999999,3.8001873779296873,4.6990467544257836e-08
4250,1.3599999999999999,3.801248779296875,4.6536541080344984e-08
4300,1.376,3.821575012207031,4.6082614616432144e-08
4350,1.392,3.8426324462890626,4.562868815251929e-08
4400,1.408,3.8774185180664062,4.517476168860645e-08
4450,1.424,3.8244744873046876,4.47208352246936e-08
4500,1.44,3.8553997802734377,4.426690876078076e-08
4550,1.456,3.8066497802734376,4.3812982296867906e-08
4600,1.472,3.8098968505859374,4.335905583295507e-08
4650,1.488,3.8367376708984375,4.2905129369042214e-08
4700,1.504,3.8504898071289064,4.2451202905129374e-08
4750,1.52,3.855285339355469,4.199727644121652e-08
4800,1.536,3.800970153808594,4.154334997730368e-08
4850,1.552,3.8561300659179687,4.108942351339083e-08
4900,1.568,3.8100537109375,4.063549704947799e-08
4950,1.584,3.842829284667969,4.0181570585565137e-08
5000,1.6,3.8149102783203124,3.972764412165229e-08
5050,1.616,3.787317199707031,3.9273717657739444e-08
5100,1.6320000000000001,3.817083740234375,3.88197911938266e-08
5150,1.6480000000000001,3.824563293457031,3.836586472991376e-08
5200,1.6640000000000001,3.8039346313476563,3.791193826600091e-08
5250,1.6800000000000002,3.83671875,3.7458011802088066e-08
5300,1.696,3.8049560546875,3.700408533817522e-08
5350,1.712,3.8228265380859376,3.6550158874262374e-08
5400,1.728,3.8067892456054686,3.609623241034953e-08
5450,1.744,3.8055474853515623,3.564230594643668e-08
5500,1.76,3.832991943359375,3.5188379482523835e-08
5550,1.776,3.8433163452148436,3.473445301861099e-08
5600,1.792,3.8239398193359375,3.428052655469814e-08
5650,1.808,3.827814025878906,3.3826600090785296e-08
5700,1.8239999999999998,3.809638671875,3.337267362687245e-08
5750,1.8399999999999999,3.8178970336914064,3.29187471629596e-08
5800,1.8559999999999999,3.854722595214844,3.246482069904675e-08
5850,1.8719999999999999,3.816654052734375,3.2010894235133905e-08
5900,1.888,3.82119384765625,3.155696777122106e-08
5950,1.904,3.8035711669921874,3.110304130730821e-08
6000,1.92,3.834228210449219,3.0649114843395366e-08
6050,1.936,3.8247036743164062,3.019518837948252e-08
6100,1.952,3.833568115234375,2.9741261915569677e-08
6150,1.968,3.8192678833007814,2.928733545165683e-08
6200,1.984,3.8224749755859375,2.8833408987743985e-08
6250,2.0,3.8132330322265626,2.837948252383114e-08
6300,2.016,3.8130560302734375,2.7925556059918292e-08
6350,2.032,3.7994485473632813,2.7471629596005446e-08
6400,2.048,3.827347412109375,2.70177031320926e-08
6450,2.064,3.82432861328125,2.6563776668179757e-08
6500,2.08,3.8471990966796876,2.610985020426691e-08
6550,2.096,3.810014343261719,2.5655923740354064e-08
6600,2.112,3.8150094604492186,2.5201997276441218e-08
6650,2.128,3.843070373535156,2.4748070812528372e-08
6700,2.144,3.822845458984375,2.4294144348615526e-08
6750,2.16,3.8461727905273437,2.384021788470268e-08
6800,2.176,3.8305227661132815,2.3386291420789833e-08
6850,2.192,3.8246875,2.2932364956876987e-08
6900,2.208,3.8326397705078126,2.247843849296414e-08
6950,2.224,3.8258212280273436,2.2024512029051295e-08
7000,2.24,3.8050836181640624,2.157058556513845e-08
7050,2.2560000000000002,3.8279129028320313,2.1116659101225602e-08
7100,2.2720000000000002,3.8249716186523437,2.0662732637312756e-08
7150,2.288,3.825735778808594,2.0208806173399913e-08
7200,2.304,3.8283901977539063,1.9754879709487064e-08
7250,2.32,3.8223812866210936,1.9300953245574218e-08
7300,2.336,3.8444668579101564,1.884702678166137e-08
7350,2.352,3.8093731689453123,1.8393100317748525e-08
7400,2.368,3.791737365722656,1.793917385383568e-08
7450,2.384,3.812697448730469,1.7485247389922833e-08
7500,2.4,3.8134722900390625,1.7031320926009986e-08
7550,2.416,3.7976666259765626,1.657739446209714e-08
7600,2.432,3.818856506347656,1.6123467998184294e-08
7650,2.448,3.8318450927734373,1.5669541534271448e-08
7700,2.464,3.8263784790039064,1.52156150703586e-08
7750,2.48,3.8210589599609377,1.4761688606445755e-08
7800,2.496,3.8253582763671874,1.430776214253291e-08
7850,2.512,3.8582528686523436,1.3853835678620063e-08
7900,2.528,3.8031396484375,1.3399909214707218e-08
7950,2.544,3.8335806274414064,1.2945982750794372e-08
8000,2.56,3.8113113403320313,1.2492056286881526e-08
8050,2.576,3.80488037109375,1.203812982296868e-08
8100,2.592,3.833419189453125,1.1584203359055834e-08
8150,2.608,3.8202923583984374,1.1130276895142987e-08
8200,2.624,3.781194152832031,1.0676350431230141e-08
8250,2.64,3.8296087646484374,1.0222423967317297e-08
8300,2.656,3.813384704589844,9.768497503404449e-09
8350,2.672,3.8394320678710936,9.314571039491602e-09
8400,2.6879999999999997,3.8408273315429686,8.860644575578756e-09
8450,2.7039999999999997,3.8194064331054687,8.40671811166591e-09
8500,2.7199999999999998,3.7902651977539064,7.952791647753064e-09
8550,2.7359999999999998,3.7789480590820315,7.498865183840218e-09
8600,2.752,3.814523010253906,7.0449387199273714e-09
8650,2.768,3.8045162963867187,6.591012256014526e-09
8700,2.784,3.867736511230469,6.13708579210168e-09
8750,2.8,3.8338848876953127,5.683159328188834e-09
8800,2.816,3.8416592407226564,5.229232864275988e-09
8850,2.832,3.8031573486328125,4.775306400363141e-09
8900,2.848,3.835538024902344,4.321379936450295e-09
8950,2.864,3.8243792724609373,3.867453472537449e-09
9000,2.88,3.8127813720703125,3.413527008624603e-09
9050,2.896,3.8146298217773436,2.9596005447117568e-09
9100,2.912,3.8171005249023438,2.505674080798911e-09
9150,2.928,3.83062255859375,2.0517476168860643e-09
9200,2.944,3.83140380859375,1.5978211529732183e-09
9250,2.96,3.7892645263671874,1.1438946890603723e-09
9300,2.976,3.817610168457031,6.899682251475262e-10
9350,2.992,3.8275192260742186,2.3604176123468e-10
